frozen_tau,AUROC,AUPRC,F1_at_tau,Precision_at_tau,Recall_at_tau,False_Positive_Rate,total_known_tested,total_unknown_tested,representation,condition,snr_db,delta_Recall,delta_FPR
0.9904574751853943,0.6257501363884342,0.80009896490921,0.6193548387096774,0.7868852459016393,0.5106382978723404,0.3333333333333333,94,39,R0,Clean,999,0.0,0.0
0.9904574751853943,0.7599563557010365,0.8781605121158378,0.797752808988764,0.8452380952380952,0.7553191489361702,0.3333333333333333,94,39,R0,SNR_20dB,20,0.24468085106382986,0.0
0.9904574751853943,0.8603382433169667,0.9313914635477141,0.8677248677248677,0.8631578947368421,0.8723404255319149,0.3333333333333333,94,39,R0,SNR_10dB,10,0.36170212765957455,0.0
0.9904574751853943,0.7643207855973815,0.7918885141568851,0.8617021276595744,0.8617021276595744,0.8617021276595744,0.3333333333333333,94,39,R0,SNR_0dB,0,0.35106382978723405,0.0
0.9904574751853943,0.5245499181669395,0.6559489655985667,0.30158730158730157,0.59375,0.20212765957446807,0.3333333333333333,94,39,R0,SNR_-5dB,-5,-0.3085106382978723,0.0
0.9471036195755005,0.6235679214402619,0.7981512437810733,0.7030303030303031,0.8169014084507042,0.6170212765957447,0.3333333333333333,94,39,R1,Clean,999,0.0,0.0
0.9471036195755005,0.6407528641571195,0.7992786178610986,0.7337278106508875,0.8266666666666667,0.6595744680851063,0.3333333333333333,94,39,R1,SNR_20dB,20,0.04255319148936165,0.0
0.9471036195755005,0.5859247135842881,0.7416766175118228,0.6103896103896105,0.7833333333333333,0.5,0.3333333333333333,94,39,R1,SNR_10dB,10,-0.11702127659574468,0.0
0.9471036195755005,0.2354064375340971,0.5531913914675228,0.12280701754385964,0.35,0.07446808510638298,0.3333333333333333,94,39,R1,SNR_0dB,0,-0.5425531914893618,0.0
0.9471036195755005,0.022640480087288598,0.4948828564145229,0.0,0.0,0.0,0.3333333333333333,94,39,R1,SNR_-5dB,-5,-0.6170212765957447,0.0
0.9669709801673889,0.5504637206764866,0.7167996924419212,0.6971428571428572,0.7530864197530864,0.648936170212766,0.5128205128205128,94,39,R2,Clean,999,0.0,0.0
0.9669709801673889,0.5995635570103656,0.7473341625846338,0.7608695652173912,0.7777777777777778,0.7446808510638298,0.5128205128205128,94,39,R2,SNR_20dB,20,0.0957446808510638,0.0
0.9669709801673889,0.6303873431533007,0.7669907435864842,0.7872340425531915,0.7872340425531915,0.7872340425531915,0.5128205128205128,94,39,R2,SNR_10dB,10,0.13829787234042556,0.0
0.9669709801673889,0.5349154391707583,0.7001747370881952,0.6820809248554913,0.7468354430379747,0.6276595744680851,0.5128205128205128,94,39,R2,SNR_0dB,0,-0.021276595744680882,0.0
0.9669709801673889,0.27714129841789414,0.5741654609120457,0.3235294117647059,0.5238095238095238,0.23404255319148937,0.5128205128205128,94,39,R2,SNR_-5dB,-5,-0.4148936170212766,0.0
0.47440630197525024,0.4427168576104747,0.7090667344884352,0.3739837398373983,0.7931034482758621,0.24468085106382978,0.15384615384615385,94,39,R3,Clean,999,0.0,0.0
0.47440630197525024,0.5553737043098745,0.7456113928203356,0.4251968503937008,0.8181818181818182,0.2872340425531915,0.15384615384615385,94,39,R3,SNR_20dB,20,0.042553191489361736,0.0
0.47440630197525024,0.5289143480632842,0.7448623779202888,0.33333333333333337,0.7692307692307693,0.2127659574468085,0.15384615384615385,94,39,R3,SNR_10dB,10,-0.03191489361702127,0.0
0.47440630197525024,0.44926350245499186,0.6822647552411282,0.27586206896551724,0.7272727272727273,0.1702127659574468,0.15384615384615385,94,39,R3,SNR_0dB,0,-0.07446808510638298,0.0
0.47440630197525024,0.44080741953082375,0.6945803691704887,0.33333333333333337,0.7692307692307693,0.2127659574468085,0.15384615384615385,94,39,R3,SNR_-5dB,-5,-0.03191489361702127,0.0
