query_id,species_key,top1_match,max_similarity,total_relevant_in_gallery,reciprocal_rank,P@1,R@1,P@5,R@5,P@10,R@10,AP@10,representation
409557,Myophonus_melanurus,1,0.7958769202232361,13,1.0,1.0,0.07692307692307693,1.0,0.38461538461538464,1.0,0.7692307692307693,1.0,R2
196221,Napothera_albostriata,1,0.6906449794769287,17,1.0,1.0,0.058823529411764705,0.8,0.23529411764705882,0.8,0.47058823529411764,0.716547619047619,R2
210245,Pellorneum_buettikoferi,1,0.7211921811103821,7,1.0,1.0,0.14285714285714285,0.8,0.5714285714285714,0.4,0.5714285714285714,0.5714285714285714,R2
296501,Picus_dedemi,1,0.7491819858551025,2,1.0,1.0,0.5,0.4,1.0,0.2,1.0,0.8333333333333333,R2
1082270,Polyplectron_chalcurum,1,0.8663725852966309,17,1.0,1.0,0.058823529411764705,0.8,0.23529411764705882,0.6,0.35294117647058826,0.5583333333333333,R2
1082251,Apalharpactes mackloti,0,0.38121575117111206,8,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R3
1082243,Batrachostomus_poliolophus,0,0.3538573384284973,5,0.25,0.0,0.0,0.2,0.2,0.1,0.2,0.05,R3
39384,Caprimulgus_pulchellus,0,0.42563551664352417,11,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R3
196213,Carpococcyx_viridis,0,0.3605249524116516,19,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.05263157894736842,0.014285714285714285,R3
1082288,Erythropitta_venusta,0,0.4036032557487488,4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R3
241696,Gypsophila_rufipectus,0,0.31165289878845215,26,0.3333333333333333,0.0,0.0,0.2,0.038461538461538464,0.1,0.038461538461538464,0.03333333333333333,R3
39510,Hydrornis_schneideri,0,0.30058804154396057,4,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R3
648641,Ixos_sumatranus,0,0.36459147930145264,2,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R3
431519,Lophura_inornata,0,0.36404865980148315,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R3
409557,Myophonus_melanurus,0,0.47837767004966736,13,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R3
196221,Napothera_albostriata,1,0.34158089756965637,17,1.0,1.0,0.058823529411764705,0.2,0.058823529411764705,0.1,0.058823529411764705,0.1,R3
210245,Pellorneum_buettikoferi,0,0.44540876150131226,7,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R3
296501,Picus_dedemi,0,0.4025194048881531,2,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R3
1082270,Polyplectron_chalcurum,0,0.4812687337398529,17,0.5,0.0,0.0,0.2,0.058823529411764705,0.1,0.058823529411764705,0.05,R3
